Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2
2025-06-24T07:56:44.892,0.0,67.461,76,0.186,0,176,0,179,
2025-06-24T07:56:45.197,0.0,70.227,76,0.186,0,176,0,180,
2025-06-24T07:56:45.503,0.0,70.952,76,0.186,0,176,0,177,
2025-06-24T07:56:45.808,0.0,71.61,76,0.186,0,176,0,179,
2025-06-24T07:56:46.113,0.0,67.555,76,0.186,0,176,0,181,
2025-06-24T07:56:46.416,0.0,63.218,76,0.186,0,176,0,181,
2025-06-24T07:56:46.722,0.0,61.217,76,0.186,0,176,0,178,
2025-06-24T07:56:47.026,0.0,64.762,76,0.186,0,176,0,177,
2025-06-24T07:56:47.329,0.0,67.904,76,0.186,0,176,0,176,
2025-06-24T07:56:47.635,0.0,70.254,76,0.186,0,176,0,177,
2025-06-24T07:56:47.938,0.0,72.04,76,0.186,0,176,0,177,
2025-06-24T07:56:48.244,0.0,67.931,76,0.186,0,176,0,180,
2025-06-24T07:56:48.549,0.0,63.54,76,0.186,0,176,0,180,
2025-06-24T07:56:48.853,0.0,61.19,76,0.186,0,176,0,176,
2025-06-24T07:56:49.155,0.0,64.507,76,0.186,0,176,0,181,
2025-06-24T07:56:49.457,0.0,67.971,76,0.186,0,176,0,176,
2025-06-24T07:56:49.742,0.0,71.113,76,0.186,0,176,0,179,
2025-06-24T07:56:50.047,0.0,73.114,76,0.186,0,176,0,174,
2025-06-24T07:56:50.350,0.0,69.865,76,0.186,0,176,0,181,
2025-06-24T07:56:50.655,0.0,64.52,76,0.186,0,180,0,176,
2025-06-24T07:56:50.958,0.0,63.016,76,0.186,0,176,0,179,
2025-06-24T07:56:51.263,0.0,64.708,76,0.186,0,176,0,177,
2025-06-24T07:56:51.584,0.0,68.079,76,0.186,0,176,0,175,
2025-06-24T07:56:51.888,0.0,71.261,76,0.186,0,176,0,180,
2025-06-24T07:56:52.192,0.0,72.241,76,0.186,0,176,0,177,
2025-06-24T07:56:52.496,0.0,67.998,76,0.186,0,176,0,176,
2025-06-24T07:56:52.802,0.0,63.5,76,0.186,0,176,0,176,
2025-06-24T07:56:53.107,0.0,61.418,76,0.186,0,176,0,181,
2025-06-24T07:56:53.396,0.0,66.978,76,0.186,0,176,0,177,
2025-06-24T07:56:53.702,0.0,70.469,76,0.186,0,176,0,181,
2025-06-24T07:56:54.003,0.0,71.14,76,0.186,0,176,0,180,
2025-06-24T07:56:54.288,0.0,72.537,76,0.186,0,176,0,176,
2025-06-24T07:56:54.574,0.0,68.347,76,0.186,0,176,0,176,
2025-06-24T07:56:54.859,0.0,63.688,76,0.186,0,176,0,176,
2025-06-24T07:56:55.160,0.0,61.244,76,0.186,0,176,0,177,
2025-06-24T07:56:55.461,0.0,66.669,76,0.186,0,176,0,176,
2025-06-24T07:56:55.762,0.0,71.932,76,0.186,0,176,0,180,
2025-06-24T07:56:56.066,0.0,72.738,76,0.186,0,176,0,180,
2025-06-24T07:56:56.369,0.0,73.718,76,0.186,0,176,0,180,
2025-06-24T07:56:56.675,0.0,70.187,76,0.186,0,176,0,178,
2025-06-24T07:56:56.980,0.0,64.708,76,0.186,0,176,0,179,
2025-06-24T07:56:57.286,0.0,63.204,76,0.186,0,176,0,179,
2025-06-24T07:56:57.591,0.0,67.072,76,0.186,0,176,0,178,
2025-06-24T07:56:57.894,0.0,70.415,76,0.186,0,176,0,177,
2025-06-24T07:56:58.197,0.0,71.288,76,0.186,0,176,0,183,
2025-06-24T07:56:58.501,0.0,72.778,76,0.186,0,176,0,180,
2025-06-24T07:56:58.805,0.0,68.079,76,0.186,0,176,0,177,
2025-06-24T07:56:59.094,0.0,63.473,76,0.186,0,176,0,181,
2025-06-24T07:56:59.398,0.0,61.257,76,0.186,0,180,0,181,
2025-06-24T07:56:59.703,0.0,64.695,76,0.186,0,176,0,178,
2025-06-24T07:57:00.008,0.0,67.904,76,0.186,0,176,0,181,
2025-06-24T07:57:00.309,0.0,71.046,76,0.186,0,176,0,176,
2025-06-24T07:57:00.595,0.0,72.577,76,0.186,0,176,0,182,
2025-06-24T07:57:00.915,0.0,67.756,76,0.186,0,176,0,181,
2025-06-24T07:57:01.219,0.0,63.258,76,0.186,0,176,0,177,
2025-06-24T07:57:01.524,0.0,61.392,76,0.186,0,176,0,179,
